Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
1 launch_application,46,855,876,1051,1116,1271,626,1271,0.000%,.55349,1.03,0.32
2 launch_application,23,362,348,395,397,489,318,489,0.000%,.28835,0.49,0.11
3 login,46,857,696,1431,1505,1706,518,1706,56.522%,.57184,0.74,0.44
5 login,9,394,380,460,480,480,336,480,0.000%,.12359,0.14,0.06
4 login,9,381,387,419,423,423,334,423,0.000%,.12361,0.21,0.06
6 flights,18,1203,803,1634,1651,3716,637,3716,0.000%,.23638,0.84,0.23
7 flights,8,373,355,427,439,439,339,439,0.000%,.13581,0.23,0.07
8 flights,8,369,354,409,415,415,344,415,0.000%,.13566,0.60,0.07
11 continue1,16,733,707,835,847,847,672,847,0.000%,.25616,0.67,0.21
12 continue1,16,724,676,866,881,881,668,881,0.000%,.25535,0.74,0.18
13 continue3,16,738,685,893,899,899,628,899,0.000%,.25447,0.70,0.22
15 home,16,1004,722,1412,1413,1597,517,1597,0.000%,.26399,0.49,0.22
17 home,6,368,351,390,464,464,324,464,0.000%,.14806,0.17,0.07
16 home,6,351,335,368,411,411,325,411,0.000%,.14803,0.25,0.07
18 logout,12,886,815,1078,1078,1253,634,1253,0.000%,.27344,0.51,0.19
19 logout,6,373,353,392,438,438,349,438,0.000%,.14784,0.25,0.06
TOTAL,261,728,675,1271,1413,1644,318,3716,9.962%,3.08285,6.32,2.05
